Date,Total_overall,Positive_overall,Total_students,Positive_students,Total_employees,Positive_employees
2022-05-16,20,1,NA,NA,NA,NA
2022-05-23,853,93,NA,NA,NA,NA
2022-05-30,653,91,NA,NA,NA,NA
2022-06-06,709,90,NA,NA,NA,NA
2022-06-13,600,88,NA,NA,NA,NA
2022-06-20,562,77,NA,NA,NA,NA
2022-06-27,582,81,NA,NA,NA,NA
2022-07-04,498,62,NA,NA,NA,NA
2022-07-11,549,72,NA,NA,NA,NA
2022-07-18,662,78,NA,NA,NA,NA
2022-07-25,557,66,NA,NA,NA,NA
2022-08-01,470,43,NA,NA,NA,NA
2022-08-08,463,47,NA,NA,NA,NA
2022-08-22,390,50,203,35,187,15
2022-08-29,400,52,231,43,169,9
2022-09-05,571,138,425,120,146,18
2022-09-12,935,226,728,202,207,24
2022-09-19,804,150,612,132,192,18
2022-09-26,503,59,356,46,147,13
2022-10-03,434,27,275,18,159,9
2022-10-10,304,28,219,15,85,13
2022-10-17,338,27,223,16,115,11
2022-10-24,285,29,180,18,105,11
2022-10-31,335,42,234,29,101,13
2022-11-07,306,31,211,19,95,12
2022-11-14,294,28,186,15,108,13
2022-11-21,320,35,207,27,113,8
2022-11-28,338,40,242,32,96,8
2022-12-05,307,36,204,28,103,8
